group_task,group_id,group_size,Omega_hat,task_id,revised_woc,initial_woc,influence,dataset,theta,revised_mse,initial_mse,revised_abs_error,initial_abs_error,revised_mse_zscore,initial_mse_zscore,revised_abs_error_zscore,initial_abs_error_zscore,improved
081120_0951_lorenz2017_task_639,081120_0951,12,0.6542999999999443,lorenz2017_task_639,251.83333333333334,234.16666666666666,1,lorenz2011,98.0,23664.69444444445,18541.36111111111,153.83333333333334,136.16666666666666,-0.2886751385527205,-0.8465671528600004,-0.2887349123884614,-1.1387823676380489,False
081120_0951_lorenz2017_task_9272,081120_0951,12,0.6947999999999398,lorenz2017_task_9272,10166.0,5003.5,1,lorenz2011,806.0,87609600.0,17619006.25,9360.0,4197.5,-0.3419198918083921,-0.30808077803389217,-0.4538865405734363,-0.38985310615842445,False
081120_1536_lorenz2017_task_184,081120_1536,12,0.4175999999999703,lorenz2017_task_184,364.1666666666667,695.9166666666666,1,lorenz2011,430.0,4334.027777777776,70711.6736111111,65.83333333333331,265.91666666666663,-0.3011973564686527,-0.29423916598291167,-0.40940948644827124,-0.34868250397135103,True
081120_1536_lorenz2017_task_734,081120_1536,12,0.4920999999999621,lorenz2017_task_734,770.75,6291.666666666667,0,lorenz2011,350.0,177030.5625,35303402.77777778,420.75,5941.666666666667,-0.28867513434762443,-0.28867503744369427,-0.2886551768135656,-0.28816247057130895,True
081120_1536_lorenz2017_task_10067,081120_1536,12,0.4721999999999643,lorenz2017_task_10067,6264.916666666667,6750.0,1,lorenz2011,12000.0,32891180.840277776,27562500.0,5735.083333333333,5250.0,-0.4629465457739613,-0.7900612181048434,-0.3528747124565215,-0.854533108373773,False
081120_1536_lorenz2017_task_198,081120_1536,12,0.6316999999999467,lorenz2017_task_198,181.91666666666666,387.9166666666667,1,lorenz2011,92.0,8085.0069444444425,87566.67361111112,89.91666666666666,295.9166666666667,-0.35583305929627845,-0.48615350157338266,-0.4640949269611576,-0.4977735801679608,True
081120_1536_lorenz2017_task_639,081120_1536,12,0.6542999999999443,lorenz2017_task_639,3857.5,1150.6666666666667,0,lorenz2011,98.0,14133840.25,1108107.1111111112,3759.5,1052.6666666666667,-0.2886751315141579,-0.11378416643641832,-0.2885850250460119,0.19470424133928294,False
081120_1536_lorenz2017_task_9272,081120_1536,12,0.6947999999999398,lorenz2017_task_9272,12056.583333333334,7754.166666666667,1,lorenz2011,806.0,126575625.34027779,48277020.02777778,11250.583333333334,6948.166666666667,-0.3412165036819076,-0.3079758133614095,-0.43895037093279593,-0.38035737306315365,False
081121_0739_lorenz2017_task_184,081121_0739,12,0.4175999999999703,lorenz2017_task_184,172.58333333333334,525.6666666666666,1,lorenz2011,430.0,66263.34027777775,9152.111111111104,257.41666666666663,95.66666666666663,-0.28029284982478603,-0.29472739758453914,-0.19235227774401067,-0.37759197824648066,False
081121_0739_lorenz2017_task_734,081121_0739,12,0.4920999999999621,lorenz2017_task_734,596.3333333333334,837.5,1,lorenz2011,350.0,60680.11111111113,237656.25,246.33333333333337,487.5,-0.28867513463394223,-0.28867514671179867,-0.2886712805185389,-0.2887291559289963,True
081121_0739_lorenz2017_task_10067,081121_0739,12,0.4721999999999643,lorenz2017_task_10067,35085.5,39527.833333333336,0,lorenz2011,12000.0,532940310.25,757781608.0277779,23085.5,27527.833333333336,1.8374310809360381,0.8442464264261607,1.795033650438629,0.9763627127782492,True
081121_0739_lorenz2017_task_198,081121_0739,12,0.6316999999999467,lorenz2017_task_198,352.3333333333333,2044.1666666666667,1,lorenz2011,92.0,67773.44444444444,3810954.694444445,260.3333333333333,1952.1666666666667,-0.35164106369028963,0.9996570585123804,-0.38212508740720047,1.3340553150481151,True
081121_0739_lorenz2017_task_639,081121_0739,12,0.6542999999999443,lorenz2017_task_639,493.6666666666667,700.8333333333334,1,lorenz2011,98.0,156552.11111111112,363408.0277777778,395.6666666666667,602.8333333333334,-0.2886751384864324,-0.6146284874623904,-0.28872485939160947,-0.45979300500183695,True
40_gurcay2015_gurcay2015_task_1_3718691.0,40_gurcay2015,92,0.5951999999999508,gurcay2015_task_1_3718691.0,414649956.1663044,263653114.37608695,0,gurcay2015,1000000.0,1.7110628623638557e+17,6.8986658491457816e+16,413649956.1663044,262653114.37608695,3.099714844224923,0.12396634803185694,3.037845202065869,0.8244964278534505,False
40_gurcay2015_gurcay2015_task_2_39.52,40_gurcay2015,92,0.6349999999999464,gurcay2015_task_2_39.52,1037.4233695652174,923.3364130434783,0,gurcay2015,15.0,1045349.5466330932,825075.0392606923,1022.4233695652174,908.3364130434783,4.364332002983606,2.5203415197622325,4.3558499285945285,2.613105061080302,False
40_gurcay2015_gurcay2015_task_3_2723.0,40_gurcay2015,92,0.6256999999999474,gurcay2015_task_3_2723.0,93564.13043478261,650229.75,0,gurcay2015,1050.0,8558864330.10397,421434347810.0625,92514.13043478261,649179.75,4.363138940490079,4.09648736232719,4.313449510080194,3.7499840882301054,True
40_gurcay2015_gurcay2015_task_4_7825200.0,40_gurcay2015,92,0.4466999999999671,gurcay2015_task_4_7825200.0,51628489.17934783,7233021.7880434785,0,gurcay2015,5000000.0,2174216003148557.5,4986386305876.894,46628489.17934783,2233021.7880434785,-0.21297898001938698,-0.22414594583600408,-0.0777157285180558,-0.24128553532585564,False
40_gurcay2015_gurcay2015_task_5_24901.4611,40_gurcay2015,92,0.7480999999999339,gurcay2015_task_5_24901.4611,10687479252639.969,7033943402152.023,0,gurcay2015,2048.0,1.1422221273183388e+26,4.947635975586695e+25,10687479250591.969,7033943400104.023,4.3643578047198455,-0.22360679774997902,4.364357804073519,-0.22360679783786902,False
40_gurcay2015_gurcay2015_task_6_47184.0,40_gurcay2015,92,0.4378999999999681,gurcay2015_task_6_47184.0,275152247528.99945,296891409351.875,0,gurcay2015,28000.0,7.570874391173471e+22,8.814449232102447e+22,275152219528.99945,296891381351.875,4.364357801789337,4.364357804466759,4.364277891392706,4.364325712668795,True
40_gurcay2015_gurcay2015_task_7_43.0,40_gurcay2015,92,0.4551999999999662,gurcay2015_task_7_43.0,60.69565217391305,58.61413043478261,0,gurcay2015,50.0,114.39697542533088,74.20324314744802,10.695652173913047,8.61413043478261,-0.23838895168085006,-0.21888420740298595,-0.19745336849818346,-0.2429355015380865,False
40_gurcay2015_gurcay2015_task_8_236.0,40_gurcay2015,92,0.4423999999999676,gurcay2015_task_8_236.0,397.6521739130435,365.80434782608694,0,gurcay2015,200.0,39066.38185255199,27491.08175803402,197.6521739130435,165.80434782608694,2.1962705059545953,2.828726689220248,1.7034119957966596,2.3662912359996136,False
40_gurcay2015_gurcay2015_task_9_16.4,40_gurcay2015,92,0.46609999999996504,gurcay2015_task_9_16.4,29.401956521739134,29.151956521739127,0,gurcay2015,20.0,88.39678643667304,83.75830817580334,9.401956521739134,9.151956521739127,-0.22805489792965883,-0.29106280168250714,-0.04696945317235485,-0.08732804127786249,False
